Model	Histology.Detailed	n.breakpoints	median
MLL-2	MLL-ALL	5	4.5
MLL-3	MLL-ALL	7	4.5
MLL-5	MLL-ALL	1	4.5
MLL-6	MLL-ALL	1	4.5
MLL-7	MLL-ALL	4	4.5
MLL-8	MLL-ALL	6	4.5
MLL-86	MLL-ALL	5	4.5
NB-1382	Neuroblastoma	30	19
NB-1643	Neuroblastoma	7	19
NB-1691	Neuroblastoma	67	19
NB-1771	Neuroblastoma	11	19
NB-EBc1	Neuroblastoma	13	19
NB-Fly-623m	Neuroblastoma	25	19
NB-SD	Neuroblastoma	39	19
NCH-ARMS-2-NCH-S13-7484	Fusion+ RMS	7	14
NCH-CA-1	Small Cell Carcinoma	16	24.5
NCH-CA-2	Small Cell Carcinoma	33	24.5
NCH-CA-3	Colon Carcinoma	100	100
NCH-CCS-1	Clear Cell Sarcoma	37	37
NCH-ERMS-1-NCH-RMS-1	Fusion- RMS	19	17.5
NCH-EWS-1	Ewing Sarcoma	2	16.5
NCH-HEP1	Hepatoblastoma	5	5
NCH-MB-1	Medulloblastoma	4	14
NCH-MN-1	Astrocytoma	10	49
NCH-NB-1	Neuroblastoma	18	19
NCH-OS-1	Osteosarcoma	123	154.5
NCH-PXA-1	Astrocytoma	84	49
NCH-RBD-1	Extracranial Rhabdoid	5	11.5
NCH-RBD-2	Extracranial Rhabdoid	18	11.5
NCH-RBD-4	ATRT	28	18.5
NCH-WT-4	Wilms	6	10
NCH-WT-6-S13-1506	Wilms	10	10
NCH-WT-7	Wilms	7	10
NCH-WT-8-S13-3700	Wilms	2	10
NCI-ASPS	ASPS	47	31.5
OS-1	Osteosarcoma	183	154.5
OS-17	Osteosarcoma	218	154.5
OS-2	Osteosarcoma	315	154.5
OS-29	Osteosarcoma	179	154.5
OS-31	Osteosarcoma	134	154.5
OS-32	Osteosarcoma	118	154.5
OS-33	Osteosarcoma	171	154.5
OS-34	Osteosarcoma	439	154.5
OS-34-SJ	Osteosarcoma	329	154.5
OS-36-SJ	Osteosarcoma	153	154.5
OS-41	Osteosarcoma	122	154.5
OS-42	Osteosarcoma	163	154.5
OS-43-TPMX	Osteosarcoma	56	154.5
OS-44	Osteosarcoma	140	154.5
OS-44-KPDX-x	Osteosarcoma	139	154.5
OS-45-TSX-pr1	Osteosarcoma	142	154.5
OS-46	Osteosarcoma	110	154.5
OS-46-AOX	Osteosarcoma	78	154.5
OS-47-SJ	Osteosarcoma	133	154.5
OS-48	Osteosarcoma	172	154.5
OS-49-SJ	Osteosarcoma	324	154.5
OS-49-STTX-sc	Osteosarcoma	32	154.5
OS-50-SJ	Osteosarcoma	208	154.5
OS-51-CHLX	Osteosarcoma	120	154.5
OS-52-SJ	Osteosarcoma	221	154.5
OS-54-OHS-x	Osteosarcoma	197	154.5
OS-54-SJ	Osteosarcoma	156	154.5
OS-55	Osteosarcoma	84	154.5
OS-55-SBX	Osteosarcoma	174	154.5
OS-56	Osteosarcoma	133	154.5
OS-56-TTX	Osteosarcoma	300	154.5
OS-60	Osteosarcoma	102	154.5
OS-9	Osteosarcoma	195	154.5
PAKHZT	Ph-likeALL	14	16
PAKRSL	Ph-likeALL	6	16
PAKSWW	Ph-likeALL	14	16
PAKVKK	Ph-likeALL	16	16
PAKYEP	Ph-likeALL	31	16
PALJDL	Ph-likeALL	20	16
PALKTY	Ph-likeALL	9	16
PALLSD	Ph-likeALL	19	16
PALNTB	BCP-ALL	10	14
PALTWS	BCP-ALL	18	14
PAMDRM	Ph-likeALL	17	16
Rh-10	Fusion+ RMS	11	14
Rh-12	Fusion- RMS	10	17.5
Rh-30	Fusion+ RMS	11	14
Rh-30R	Fusion+ RMS	20	14
Rh-36	Fusion- RMS	37	17.5
Rh-41	Fusion+ RMS	107	14
Rh-65	Fusion+ RMS	17	14
Rh-70	Fusion- RMS	16	17.5
SK-NEP-1	Ewing Sarcoma	17	16.5
TC-71	Ewing Sarcoma	36	16.5
ALL-59	BCP-ALL	0	14
NCH-WT-5	Wilms	0	10
